Date,Start,End,Item
3/16/2026,0:00,0:00,"Research Day, Virtual"
3/16/2026,10:30,11:00,"Welcome meeting, review of schedule and expectations"
3/16/2026,11:00,12:00,OTC Implementation Project Team Meeting (virtual)
3/16/2026,13:00,13:30,"Self-guided orientation to rotation at Mount Sinai Fertility, Review of resources"
3/16/2026,13:30,14:30,OICR grant- Protocol Review meeting #1 (virtual)
3/17/2026,0:00,0:00,"Clinic, Virtual"
3/17/2026,7:30,16:00,Clinic (virtual)
3/18/2026,0:00,0:00,"Procedures, In-Person DT"
3/18/2026,7:30,12:00,"Procedures, In-Person DT"
3/18/2026,12:00,13:00,Divisional rounds
3/18/2026,13:00,15:00,"Procedures, In-Person DT"
3/19/2026,0:00,0:00,"Clinic, Virtual"
3/19/2026,7:30,16:30,Clinic (virtual)
3/20/2026,0:00,0:00,"Cancer Survivorship, Virtual"
3/20/2026,7:30,11:00,Cancer survivorship clinic (virtual)
3/20/2026,11:00,12:00,MD2 Blood rounds
3/20/2026,13:00,13:30,MD2 Blood rounds
3/20/2026,13:00,16:00,Cancer survivorship clinic (virtual)
3/23/2026,0:00,0:00,"Research Day, In-Person DT"
3/23/2026,11:05,11:55,"OTC Implementation Project Team Meeting, (virtual)"
3/23/2026,16:00,17:00,"SickKids Fertility Preservation Quarterly Meeting, PSC 10-14-001 Collaboration Room "
3/24/2026,0:00,0:00,"Clinic, Virtual"
3/24/2026,7:30,16:00,Clinic (virtual)
3/25/2026,0:00,0:00,"Research day, Virtual"
3/25/2026,7:30,16:00,Procedures with another MD
3/26/2026,0:00,0:00,"Clinic, Virtual"
3/26/2026,07:30,16:00,Clinic (virtual)
3/27/2026,0:00,0:00,"Clinic, In-Person DT"
3/27/2026,9:00,12:00,"Turner POI Clinic (WCH, downtown)"
3/27/2026,13:00,16:00,Clinic (downtown)
3/27/2026,16:00,16:30,Wrap-up and feedback session
