Date,Start,End,Item
3/2/2026,0:00,0:00,"Research Day, Virtual"
3/2/2026,10:30,11:00,"Welcome meeting, review of schedule and expectations"
3/2/2026,11:00,12:00,OTC Implementation Project Team Meeting
3/2/2026,13:00,14:00,"Self-guided orientation to rotation at Mount Sinai Fertility, Review of resources"
3/2/2026,14:00,15:00,AfterCare Fertility Preservation Working Group (Teams)
3/3/2026,0:00,0:00,"Clinic, Virtual"
3/3/2026,7:30,16:00,Clinic (virtual)
3/4/2026,0:00,0:00,"Clinic, Virtual"
3/4/2026,7:30,12:00,Clinic (virtual)
3/4/2026,12:00,13:00,Divisional rounds
3/4/2026,13:00,16:30,Clinic (virtual)
3/5/2026,0:00,0:00,"Clinic, In-Person DT"
3/5/2026,8:00,16:30,Clinic (downtown)
3/6/2026,0:00,0:00,"Cancer Survivorship, Virtual"
3/6/2026,8:00,12:00,Cancer survivorship clinic
3/9/2026,0:00,0:00,"Research Day+MD2, Virtual"
3/9/2026,11:00,12:00,MD2 Blood rounds
3/9/2026,13:00,13:30,MD2 Blood rounds
3/10/2026,0:00,0:00,"Procedures, In-Person DT"
3/10/2026,7:15,15:00,IVF procedures
3/10/2026,12:00,13:00,Divisional rounds
3/11/2026,0:00,0:00,"Clinic, Virtual"
3/11/2026,8:00,16:00,Clinic (virtual)
3/12/2026,0:00,0:00,"Clinic, Virtual"
3/12/2026,8:00,16:00,Clinic (virtual)
3/13/2026,0:00,0:00,"MD2, Virtual"
3/13/2026,11:00,12:00,MD2 Blood rounds
3/13/2026,13:00,13:30,MD2 Blood rounds
3/13/2026,16:00,16:30,Wrap-up and feedback session
