Date,Start,End,Item
3/30/2026,0:00,0:00,"Research Day, Virtual"
3/30/2026,10:30,11:00,"Welcome meeting, review of schedule and expectations"
3/30/2026,11:00,12:00,OTC Implementation Project Team Meeting (virtual)
3/30/2026,13:00,13:30,"Self-guided orientation to rotation at Mount Sinai Fertility, Review of resources"
3/31/2026,0:00,0:00,"Procedures, In-Person DT"
3/31/2026,7:30,15:00,"Procedures"
4/1/2026,0:00,0:00,"Clinic, Virtual"
4/1/2026,7:30,12:00,Clinic (virtual)
4/1/2026,12:00,13:00,Divisional rounds
4/1/2026,13:00,16:00,Clinic (virtual)
4/2/2026,0:00,0:00,"Procedures, In-Person DT"
4/2/2026,7:30,15:00,"Procedures (with another MD)"
4/3/2026,0:00,0:00,"Good Friday, Holiday"
4/6/2026,0:00,0:00,"Easter Monday, Holiday"
4/7/2026,0:00,0:00,"Clinic, Virtual (with another MD)"
4/7/2026,8:00,16:00,Clinic (virtual) (with another MD)
4/8/2026,0:00,0:00,"Procedures, In-Person DT"
4/8/2026,8:00,17:00,"Procedures, In-Person DT"
4/9/2026,0:00,0:00,"Clinic, In-Person DT"
4/9/2026,8:00,16:00,"Clinic, In-Person DT"
4/10/2026,0:00,0:00,"ClinicCancer Survivorship + MD2, Virtual, In-Person DT"
4/10/2026,7:30,11:00,Cancer Survivorship Virtual
4/10/2026,11:00,12:00,MD2 Blood rounds
4/10/2026,12:00,12:30,Wrap-up and feedback session
