Date,Start,End,Item
1/5/2026,0:00,0:00,"Research Day, Virtual"
1/5/2026,8:30,9:00,"Welcome meeting, review of schedule and expectations"
1/5/2026,9:00,10:00,Gender Diverse Working Group – Fertility Preservation Meeting
1/5/2026,11:00,12:00,OTC Implementation Project Team Meeting
1/5/2026,13:00,17:00,"Self-guided orientation to rotation at Mount Sinai Fertility, Review of resources"
1/6/2026,0:00,0:00,"Procedures, In-Person DT"
1/6/2026,8:00,15:00,IVF procedures
1/6/2026,15:00,16:00,MSF OTC leadership meeting
1/6/2026,16:00,17:00,Fertility Preservation at SickKids - Weekly Meeting (Teams)
1/7/2026,0:00,0:00,"Clinic, Virtual"
1/7/2026,8:00,12:00,Clinic (virtual)
1/7/2026,12:00,13:00,MSF Rounds
1/7/2026,13:00,16:00,Clinic (virtual)
1/8/2026,0:00,0:00,"Clinic + MD2, In-Person DT"
1/8/2026,8:00,9:00,Haem/Onc Divisional Rounds (SickKids)
1/8/2026,9:30,11:00,Clinic
1/8/2026,11:00,12:00,MD2 Blood rounds
1/8/2026,12:00,13:00,PAC meeting (Teams)
1/8/2026,13:00,13:30,MD2 Blood Rounds / Clinic
1/9/2026,0:00,0:00,"MD2, Virtual"
1/9/2026,11:00,12:00,MD2 Blood rounds
1/9/2026,13:30,15:00,Kriti and Jennia Writing time
1/9/2026,15:00,16:00,London OTC cases
1/9/2026,16:00,17:00,Research meeting with Caroline and Claudia - Ovarian Transplant Meeting
1/12/2026,0:00,0:00,"Research Day, Virtual"
1/12/2026,11:00,12:00,OTC Implementation Project Team Meeting
1/12/2026,14:00,15:00,AfterCare Fertility Working Group (Teams)
1/13/2026,0:00,0:00,"Clinic + MD2, Virtual"
1/13/2026,8:00,11:00,Clinic
1/13/2026,11:00,12:00,MD2 Blood rounds
1/13/2026,13:00,13:30,MD2 Blood rounds
1/13/2026,13:30,16:00,Clinic
1/14/2026,0:00,0:00,"Procedures, In-Person DT"
1/14/2026,8:00,12:00,IVF procedures
1/14/2026,12:00,13:00,MSF Rounds
1/14/2026,13:00,15:00,IVF procedures
1/15/2026,0:00,0:00,"Clinic, Virtual"
1/15/2026,8:00,16:00,Clinic
1/16/2026,0:00,0:00,"Cancer Survivorship, Virtual"
1/16/2026,8:00,11:00,Cancer survivorship clinic
1/16/2026,11:00,12:00,MD2 Blood rounds
1/16/2026,13:00,13:30,MD2 Blood rounds
1/16/2026,13:30,16:00,Cancer survivorship clinic
1/16/2026,16:00,16:30,Wrap-up and feedback session
