Date,Start,End,Item
1/5/2026,0:00,0:00,"Research Day, Virtual"
1/5/2026,8:30,9:00,"Welcome meeting, review of schedule and expectations"
1/5/2026,9:00,10:00,Gender Diverse Working Group – Fertility Preservation Meeting
1/5/2026,11:00,12:00,OTC Implementation Project Team Meeting
1/5/2026,13:00,17:00,"Self-guided orientation to rotation at Mount Sinai Fertility, Review of resources"
1/6/2026,0:00,0:00,"Procedures, In-Person DT"
1/6/2026,8:00,15:00,IVF procedures
1/6/2026,15:00,16:00,MSF OTC leadership meeting
1/6/2026,16:00,17:00,Fertility Preservation at SickKids - Weekly Meeting (Teams)
1/7/2026,0:00,0:00,"Clinic, Virtual"
1/7/2026,8:00,16:00,Clinic (virtual)
1/7/2026,12:00,13:00,MSF Rounds
1/7/2026,13:00,16:00,Clinic (virtual)
